-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/2019 through 04/10/2023 
Location: Latitude  32.0019   Longitude 76.1849 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 1112.16 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
T2M             MERRA-2 Temperature at 2 Meters (C) 
T2MDEW          MERRA-2 Dew/Frost Point at 2 Meters (C) 
T2MWET          MERRA-2 Wet Bulb Temperature at 2 Meters (C) 
TS              MERRA-2 Earth Skin Temperature (C) 
T2M_RANGE       MERRA-2 Temperature at 2 Meters Range (C) 
T2M_MAX         MERRA-2 Temperature at 2 Meters Maximum (C) 
T2M_MIN         MERRA-2 Temperature at 2 Meters Minimum (C) 
QV2M            MERRA-2 Specific Humidity at 2 Meters (g/kg) 
RH2M            MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR     MERRA-2 Precipitation Corrected (mm/day) 
-END HEADER-
YEAR,MO,DY,T2M,T2MDEW,T2MWET,TS,T2M_RANGE,T2M_MAX,T2M_MIN,QV2M,RH2M,PRECTOTCORR
2019,1,1,9.5,-1.74,3.87,6.46,8.63,15.4,6.76,3.85,47.5,0.27
2019,1,2,8.76,1.56,5.16,6.98,7.01,13.21,6.2,4.82,62.38,0.72
2019,1,3,8.72,-0.82,3.95,5.88,9.67,14.72,5.05,4.09,53.06,0.0
2019,1,4,9.05,-1.88,3.58,6.05,9.94,15.68,5.73,3.85,48.69,0.97
2019,1,5,7.43,2.62,5.02,6.05,5.34,10.83,5.49,5.19,72.81,3.43
2019,1,6,5.59,2.3,3.95,3.53,2.16,6.88,4.73,5.19,81.44,7.48
2019,1,7,7.83,0.69,4.26,4.69,8.59,13.12,4.52,4.64,62.69,0.0
2019,1,8,8.54,0.15,4.35,5.44,7.54,13.9,6.37,4.46,57.62,0.0
2019,1,9,9.24,-0.35,4.45,6.04,9.84,15.58,5.75,4.27,52.75,0.0
2019,1,10,9.24,-2.03,3.61,6.09,8.67,14.51,5.84,3.78,46.94,0.02
2019,1,11,8.58,1.54,5.06,7.52,8.42,13.7,5.28,4.82,63.31,0.01
2019,1,12,7.68,1.65,4.67,5.98,5.21,10.8,5.58,4.94,67.31,4.02
2019,1,13,6.32,0.3,3.31,4.53,9.05,11.77,2.72,4.46,68.5,5.44
2019,1,14,6.87,-5.95,0.46,3.55,12.81,14.65,1.83,2.81,41.06,0.0
2019,1,15,9.12,-4.81,2.15,4.62,10.01,14.81,4.8,3.05,37.44,0.0
2019,1,16,10.12,0.01,5.06,6.78,7.65,15.19,7.54,4.39,51.19,0.0
2019,1,17,10.2,0.06,5.13,7.26,9.91,16.5,6.58,4.39,51.44,0.0
2019,1,18,9.61,-2.52,3.54,7.48,11.75,17.0,5.26,3.72,45.75,0.0
2019,1,19,11.07,4.83,7.95,8.9,7.16,14.95,7.8,6.1,66.25,0.0
2019,1,20,12.17,5.66,8.92,9.37,5.51,15.23,9.73,6.47,65.88,1.66
2019,1,21,10.04,6.21,8.12,8.32,7.01,13.46,6.45,6.77,78.56,15.83
2019,1,22,5.8,4.76,5.28,4.96,1.97,6.82,4.85,6.1,94.25,26.85
2019,1,23,6.14,2.65,4.4,3.02,7.4,10.19,2.79,5.31,80.5,1.66
2019,1,24,6.22,0.77,3.49,3.23,7.69,11.08,3.4,4.64,69.81,2.45
2019,1,25,4.99,-1.27,1.86,1.38,6.34,7.92,1.58,3.97,65.19,3.17
2019,1,26,5.07,-3.62,0.73,1.98,10.05,10.95,0.9,3.36,55.31,0.02
2019,1,27,5.6,-3.63,0.99,2.83,7.95,10.63,2.69,3.3,52.38,0.03
2019,1,28,6.2,-3.8,1.2,3.95,11.08,12.7,1.62,3.23,50.19,0.01
2019,1,29,7.92,-4.85,1.54,5.1,13.13,14.95,1.82,2.99,41.25,0.0
2019,1,30,8.38,0.7,4.54,6.01,5.37,11.52,6.16,4.64,60.88,3.69
2019,1,31,7.01,4.94,5.98,6.33,6.31,10.6,4.3,6.16,88.5,6.92
2019,2,1,7.01,2.04,4.52,5.33,7.53,11.29,3.76,5.0,72.62,2.94
2019,2,2,9.3,0.06,4.68,6.37,9.99,15.54,5.55,4.46,54.69,0.0
2019,2,3,10.06,-1.19,4.44,7.26,11.55,16.86,5.3,4.03,47.69,0.0
2019,2,4,11.96,-0.99,5.48,8.79,11.89,18.61,6.72,4.15,43.12,0.0
2019,2,5,12.0,1.65,6.83,9.55,8.93,17.16,8.23,4.88,51.06,0.03
2019,2,6,10.37,5.89,8.13,9.81,8.8,15.65,6.85,6.59,75.38,1.78
2019,2,7,7.93,7.2,7.56,7.12,6.73,10.34,3.62,7.32,96.62,61.22
2019,2,8,4.6,-0.35,2.12,2.6,8.66,9.57,0.91,4.27,72.94,4.38
2019,2,9,6.33,-3.6,1.37,1.65,11.53,12.24,0.71,3.54,51.88,0.14
2019,2,10,8.69,-2.06,3.31,4.7,5.73,11.81,6.09,3.85,48.94,0.0
2019,2,11,11.13,1.42,6.27,8.55,9.65,16.77,7.13,4.82,52.88,0.0
2019,2,12,11.3,3.17,7.23,9.12,8.18,16.17,7.99,5.43,59.25,0.02
2019,2,13,13.12,6.58,9.85,11.01,7.2,16.65,9.46,6.9,65.56,0.02
2019,2,14,11.33,7.9,9.62,10.05,6.23,14.52,8.3,7.57,81.38,15.81
2019,2,15,8.85,6.21,7.53,7.28,5.24,12.37,7.12,6.84,85.88,19.72
2019,2,16,9.21,3.14,6.18,7.19,8.05,13.83,5.77,5.68,69.5,0.01
2019,2,17,9.12,0.2,4.66,6.96,9.81,15.31,5.51,4.64,56.88,0.39
2019,2,18,8.93,4.6,6.76,8.94,10.63,15.47,4.83,6.04,77.0,8.29
2019,2,19,9.05,4.16,6.61,7.87,9.06,14.05,4.99,5.92,73.5,3.0
2019,2,20,9.14,3.5,6.32,7.99,9.54,14.44,4.9,5.74,70.81,9.36
2019,2,21,9.76,8.52,9.14,8.52,3.91,11.81,7.9,8.0,94.38,31.94
2019,2,22,10.64,7.24,8.94,8.94,8.04,15.03,6.99,7.32,81.94,1.8
2019,2,23,10.27,2.51,6.39,8.35,12.55,16.74,4.19,5.37,62.19,0.01
2019,2,24,10.76,2.36,6.56,8.27,8.52,14.8,6.28,5.19,57.88,0.0
2019,2,25,9.42,2.14,5.78,8.06,8.23,13.47,5.23,5.07,62.25,0.01
2019,2,26,9.24,2.69,5.97,8.52,7.76,13.49,5.73,5.31,66.06,3.21
2019,2,27,6.49,3.05,4.77,5.89,4.86,9.08,4.23,5.43,80.12,2.99
2019,2,28,7.44,1.87,4.65,6.72,10.89,13.33,2.44,4.94,70.38,0.1
2019,3,1,9.67,2.52,6.1,8.57,9.12,14.86,5.73,5.25,63.19,0.02
2019,3,2,8.02,5.05,6.54,7.34,5.4,11.01,5.61,6.23,83.38,15.92
2019,3,3,8.9,6.12,7.51,8.34,8.16,13.46,5.29,6.71,84.62,8.1
2019,3,4,9.72,5.85,7.79,8.95,6.68,13.63,6.95,6.71,79.12,4.04
2019,3,5,10.62,5.23,7.92,9.51,9.6,15.45,5.85,6.35,71.5,0.15
2019,3,6,11.26,4.63,7.95,9.98,9.41,16.3,6.9,6.16,65.69,0.02
2019,3,7,11.59,3.18,7.39,9.98,8.93,16.45,7.52,5.55,58.44,0.02
2019,3,8,11.72,3.28,7.5,10.99,10.91,17.58,6.69,5.62,59.56,0.01
2019,3,9,12.65,6.25,9.45,11.95,9.08,17.6,8.51,6.77,67.0,0.0
2019,3,10,13.21,4.84,9.02,11.9,11.64,19.13,7.49,6.29,59.5,0.02
2019,3,11,11.44,5.74,8.59,10.93,10.36,18.22,7.86,6.53,71.31,8.12
2019,3,12,12.02,6.22,9.12,11.15,11.07,17.98,6.9,6.77,70.5,0.08
2019,3,13,12.26,5.62,8.94,11.09,8.44,16.56,8.13,6.53,66.25,2.93
2019,3,14,10.57,5.37,7.97,9.39,7.57,14.79,7.22,6.41,72.0,6.5
2019,3,15,12.22,4.64,8.43,10.66,8.4,17.1,8.7,6.16,61.81,0.11
2019,3,16,14.65,4.69,9.67,13.19,12.34,21.03,8.69,6.35,54.0,0.0
2019,3,17,15.24,6.81,11.03,14.03,9.8,20.19,10.39,7.14,59.5,1.43
2019,3,18,15.65,6.37,11.01,14.34,12.0,21.62,9.62,6.96,56.94,0.14
2019,3,19,16.0,7.4,11.7,15.02,9.12,20.98,11.85,7.32,58.38,0.53
2019,3,20,15.0,7.6,11.3,13.31,9.37,20.08,10.71,7.45,62.94,9.69
2019,3,21,14.53,6.36,10.44,12.64,10.8,19.8,9.0,6.84,59.94,0.29
2019,3,22,15.06,5.42,10.24,13.81,10.77,20.92,10.15,6.41,54.69,0.01
2019,3,23,14.37,4.65,9.51,12.32,10.09,19.41,9.33,6.23,54.81,0.0
2019,3,24,16.51,7.74,12.12,14.84,8.88,21.66,12.79,7.69,58.25,0.83
2019,3,25,16.4,7.99,12.2,15.15,10.15,21.58,11.43,7.69,59.94,2.3
2019,3,26,17.3,8.27,12.79,16.04,12.27,23.58,11.3,7.81,58.5,0.01
2019,3,27,18.31,6.62,12.47,16.4,12.98,24.35,11.37,7.08,48.56,0.0
2019,3,28,20.77,9.89,15.33,18.98,9.51,26.55,17.05,8.79,51.56,0.0
2019,3,29,21.12,9.55,15.33,19.76,12.65,27.15,14.5,8.61,50.19,0.0
2019,3,30,21.78,8.94,15.36,20.55,11.91,27.98,16.08,8.12,46.38,0.0
2019,3,31,20.23,6.25,13.24,18.83,11.21,26.39,15.19,6.84,42.5,0.0
2019,4,1,19.6,6.11,12.86,18.08,13.13,26.48,13.35,6.71,43.75,0.0
2019,4,2,19.88,5.8,12.83,18.37,14.5,27.55,13.05,6.65,42.38,0.0
2019,4,3,21.38,8.09,14.73,19.9,14.48,28.18,13.7,7.75,44.25,0.0
2019,4,4,22.69,11.41,17.05,21.51,11.52,28.99,17.47,9.58,51.19,0.0
2019,4,5,22.44,11.46,16.95,20.69,10.04,27.83,17.8,9.64,51.5,0.0
2019,4,6,21.51,11.54,16.52,21.12,12.59,28.89,16.3,9.64,55.56,0.02
2019,4,7,22.16,9.9,16.03,21.44,13.57,29.01,15.44,8.73,48.31,0.02
2019,4,8,21.08,10.15,15.62,20.26,8.89,25.36,16.47,8.79,51.38,1.32
2019,4,9,22.05,9.88,15.97,21.05,13.23,28.28,15.05,8.67,48.06,0.22
2019,4,10,23.15,11.51,17.33,22.77,12.56,29.55,16.98,9.64,50.56,0.0
2019,4,11,23.09,8.94,16.01,22.3,12.18,29.31,17.14,8.18,42.75,0.0
